id,type,transition,wattage_nominal,P_peak_W,time_to_peak_ms,P_steady_W
1085,Fridge,off-on,,921.6,433.0,58.4
1086,Fridge,off-on,,928.3,575.8,60.4
1087,Fridge,off-on,,904.9,407.4,61.7
1088,Fridge,off-on,,897.6,1307.6,60.4
1089,Fridge,off-on,,887.9,435.2,66.8
1090,Microwave,high,1050,900.0,660.5,565.3
1091,Microwave,high,1050,563.1,2007.5,560.6
1092,Microwave,high,1050,796.3,997.4,558.1
1093,Microwave,high,1050,564.4,1522.5,559.1
1094,Microwave,high,1050,812.8,776.2,557.8
1095,Microwave,medium,1050,597.4,583.6,562.0
1096,Microwave,medium,1050,769.1,489.8,563.6
1097,Microwave,medium,1050,845.0,730.4,556.3
1098,Microwave,medium,1050,801.0,740.6,564.6
1099,Microwave,medium,1050,566.4,2230.4,558.0
1100,Washing Machine,off-on,,1568.7,689.1,459.0
1101,Washing Machine,off-on,,1604.6,802.9,439.8
1102,Washing Machine,off-on,,489.7,133.4,435.5
1103,Washing Machine,off-on,,1608.8,958.8,429.4
1104,Washing Machine,off-on,,1569.7,552.8,427.6
1105,Air Conditioner,highcool,465,52.7,654.9,36.0
1106,Air Conditioner,highcool,465,52.7,1102.5,35.9
1107,Air Conditioner,highcool,465,53.1,1589.6,35.9
1108,Air Conditioner,highcool,465,53.5,1041.5,35.9
1109,Air Conditioner,highcool,465,52.8,1438.7,35.9
1110,Air Conditioner,highfan,465,54.0,688.2,36.2
1111,Air Conditioner,highfan,465,52.1,930.5,36.1
1112,Air Conditioner,highfan,465,53.8,693.2,35.9
1113,Air Conditioner,highfan,465,53.4,1098.5,36.1
1114,Air Conditioner,highfan,465,53.0,1320.0,36.0
1115,Air Conditioner,lowcool,465,46.0,674.2,33.2
1116,Air Conditioner,lowcool,465,45.5,170.5,33.0
1117,Air Conditioner,lowcool,465,45.8,975.2,33.0
1118,Air Conditioner,lowcool,465,45.1,817.8,33.1
1119,Air Conditioner,lowcool,465,44.6,1377.7,33.1
1120,Air Conditioner,lowfan,465,46.0,757.1,32.9
1121,Air Conditioner,lowfan,465,47.9,58.8,32.8
1122,Air Conditioner,lowfan,465,45.2,1058.0,32.8
1123,Air Conditioner,lowfan,465,44.1,968.1,32.8
1124,Air Conditioner,lowfan,465,46.5,1815.0,33.1
1125,Air Conditioner,highcool,740,139.5,858.0,64.4
1126,Air Conditioner,highcool,740,137.5,1175.5,64.6
1127,Air Conditioner,highcool,740,141.0,553.0,64.5
1128,Air Conditioner,highcool,740,139.1,1061.5,64.5
1129,Air Conditioner,highcool,740,139.1,1779.5,64.5
1130,Air Conditioner,highfan,740,139.2,621.1,64.6
1131,Air Conditioner,highfan,740,147.9,471.4,64.5
1132,Air Conditioner,highfan,740,145.6,760.1,64.4
1133,Air Conditioner,highfan,740,139.2,942.6,64.5
1134,Air Conditioner,highfan,740,140.4,991.5,64.5
1135,Air Conditioner,lowcool,740,66.5,663.5,46.2
1136,Air Conditioner,lowcool,740,67.0,634.4,46.1
1137,Air Conditioner,lowcool,740,64.4,842.2,46.1
1138,Air Conditioner,lowcool,740,65.4,1626.3,46.1
1139,Air Conditioner,lowcool,740,65.6,720.8,46.0
