id,type,brand,wattage_nominal,voltage_nominal,peak_A,rise_time_ms,rms_steady_A,inrush_ratio
1085,Fridge,Frigidaire,,115,8.68,433.7,0.5,17.21
1086,Fridge,Frigidaire,,115,8.66,576.77,0.52,16.68
1087,Fridge,Frigidaire,,115,8.53,408.23,0.53,16.06
1088,Fridge,Frigidaire,,115,8.43,1308.47,0.52,16.17
1089,Fridge,Frigidaire,,115,8.25,436.23,0.57,14.36
1100,Washing Machine,Kenmore,,120,15.0,689.0,4.91,3.05
1101,Washing Machine,Kenmore,,120,15.34,803.57,4.79,3.2
1102,Washing Machine,Kenmore,,120,5.1,134.97,4.76,1.07
1103,Washing Machine,Kenmore,,120,15.35,959.4,4.72,3.26
1104,Washing Machine,Kenmore,,120,15.0,552.73,4.7,3.19
1105,Air Conditioner,Frigidaire,465,115,0.45,654.93,0.31,1.46
1106,Air Conditioner,Frigidaire,465,115,0.45,1102.47,0.31,1.47
1107,Air Conditioner,Frigidaire,465,115,0.45,1589.63,0.31,1.47
1108,Air Conditioner,Frigidaire,465,115,0.46,1041.5,0.31,1.49
1109,Air Conditioner,Frigidaire,465,115,0.45,1438.7,0.31,1.48
1110,Air Conditioner,Frigidaire,465,115,0.46,688.23,0.31,1.49
1111,Air Conditioner,Frigidaire,465,115,0.45,930.5,0.31,1.45
1112,Air Conditioner,Frigidaire,465,115,0.46,693.2,0.31,1.5
1113,Air Conditioner,Frigidaire,465,115,0.46,1098.5,0.31,1.49
1114,Air Conditioner,Frigidaire,465,115,0.45,1320.03,0.31,1.48
1115,Air Conditioner,Frigidaire,465,115,0.4,674.17,0.29,1.39
1116,Air Conditioner,Frigidaire,465,115,0.4,170.53,0.29,1.36
1117,Air Conditioner,Frigidaire,465,115,0.41,975.17,0.29,1.41
1118,Air Conditioner,Frigidaire,465,115,0.39,817.8,0.29,1.34
1119,Air Conditioner,Frigidaire,465,115,0.38,1376.33,0.29,1.32
1120,Air Conditioner,Frigidaire,465,115,0.41,757.13,0.29,1.41
1121,Air Conditioner,Frigidaire,465,115,0.37,58.6,0.29,1.3
1122,Air Conditioner,Frigidaire,465,115,0.4,1057.97,0.29,1.38
1123,Air Conditioner,Frigidaire,465,115,0.38,968.13,0.29,1.31
1124,Air Conditioner,Frigidaire,465,115,0.42,1814.97,0.29,1.44
1125,Air Conditioner,Sharp,740,120,1.22,858.0,0.55,2.2
1126,Air Conditioner,Sharp,740,120,1.19,1175.93,0.55,2.15
1127,Air Conditioner,Sharp,740,120,1.23,553.03,0.55,2.21
1128,Air Conditioner,Sharp,740,120,1.21,1061.53,0.55,2.19
1129,Air Conditioner,Sharp,740,120,1.21,1779.53,0.55,2.18
1130,Air Conditioner,Sharp,740,120,1.21,621.13,0.55,2.18
1131,Air Conditioner,Sharp,740,120,1.28,471.87,0.55,2.31
1132,Air Conditioner,Sharp,740,120,1.27,760.13,0.55,2.28
1133,Air Conditioner,Sharp,740,120,1.21,943.03,0.55,2.18
1134,Air Conditioner,Sharp,740,120,1.22,991.53,0.55,2.2
1135,Air Conditioner,Sharp,740,120,0.58,663.8,0.39,1.48
1136,Air Conditioner,Sharp,740,120,0.59,635.1,0.39,1.49
1137,Air Conditioner,Sharp,740,120,0.56,842.83,0.39,1.43
1138,Air Conditioner,Sharp,740,120,0.57,1626.97,0.39,1.46
